Date,download
2011-05-12,1.6130000000000002
2011-05-13,3.168
2011-05-14,0.828
2011-05-15,1.619
2011-05-16,0.8809999999999999
2011-05-17,1.774
2011-05-18,2.5789999999999997
2011-05-19,2.076
2011-05-20,4.796
2011-05-21,2.081
2011-05-22,2.296
2011-05-23,1.598
2011-05-24,2.499
2011-05-25,2.083
2011-05-26,0.76
2011-05-27,1.1840000000000002
2011-05-28,2.383
2011-05-29,2.498
2011-05-30,0.9640000000000001
2011-05-31,2.81
2011-06-01,2.408
2011-06-02,1.8030000000000002
2011-06-03,1.307
2011-06-04,4.837
2011-06-05,1.705
2011-06-06,3.699
2011-06-07,3.635
2011-06-08,2.074
2011-06-09,2.062
2011-06-10,1.382
2011-06-11,2.991
2011-06-12,3.4960000000000004
2011-06-13,1.766
2011-06-14,2.401
2011-06-15,3.1510000000000002
2011-06-16,1.204
2011-06-17,0.62
2011-06-18,0.486
2011-06-19,0.629
2011-06-20,1.072
2011-06-21,0.78
2011-06-22,0.8370000000000001
2011-06-23,1.859
2011-06-24,1.577
2011-06-25,1.335
2011-06-26,1.795
2011-06-27,0.785
2011-06-28,1.834
2011-06-29,1.5959999999999999
2011-06-30,0.662
2011-07-01,1.71
2011-07-02,1.565
2011-07-03,1.443
2011-07-04,2.812
2011-07-05,1.344
2011-07-06,2.858
2011-07-07,1.6680000000000001
2011-07-08,3.0639999999999996
2011-07-09,2.459
2011-07-10,2.562
2011-07-11,2.659
2011-07-12,1.895
2011-07-13,0.445
2011-07-14,1.5619999999999998
2011-07-15,2.0069999999999997
2011-07-16,2.0380000000000003
2011-07-17,1.235
2011-07-18,1.986
2011-07-19,0.858
2011-07-20,2.166
2011-07-21,2.113
2011-07-22,1.212
2011-07-23,2.548
2011-07-24,3.3569999999999998
2011-07-25,2.233
2011-07-26,1.104
2011-07-27,2.271
2011-07-28,0.815
2011-07-29,0.995
2011-07-30,2.761
2011-07-31,1.883
2011-08-01,5.343999999999999
2011-08-02,3.013
2011-08-03,1.421
2011-08-04,1.676
2011-08-05,2.95
2011-08-06,2.634
2011-08-07,2.1630000000000003
2011-08-08,1.618
2011-08-09,0.828
2011-08-10,0.175
2011-08-11,1.725
2011-08-12,0.977
2011-08-13,1.726
2011-08-14,3.1689999999999996
2011-08-15,2.6180000000000003
2011-08-16,2.117
2011-08-17,2.61
2011-08-18,1.733
2011-08-19,0.624
2011-08-20,1.8219999999999998
2011-08-21,1.3619999999999999
2011-08-22,2.019
2011-08-23,7.375
2011-08-24,3.5780000000000003
2011-08-25,1.361
2011-08-26,2.952
2011-08-27,2.21
2011-08-28,4.155
2011-08-29,4.835
2011-08-30,1.053
2011-08-31,2.281
2011-09-01,3.81
2011-09-02,0.773
2011-09-03,2.674
2011-09-04,2.516
2011-09-05,2.1590000000000003
2011-09-06,1.3
2011-09-07,2.8689999999999998
2011-09-08,1.699
2011-09-09,4.922
2011-09-10,3.8739999999999997
2011-09-11,1.733
2011-09-12,1.9169999999999998
2011-09-13,0.569
2011-09-14,0.878
2011-09-15,0.6509999999999999
2011-09-16,1.119
2011-09-17,1.074
2011-09-18,3.259
2011-09-19,2.0580000000000003
2011-09-20,1.6540000000000001
2011-09-21,1.465
2011-09-22,2.2880000000000003
2011-09-23,1.864
2011-09-24,1.943
2011-09-25,2.7560000000000002
2011-09-26,1.901
2011-09-27,2.62
2011-09-28,2.188
2011-09-29,2.7289999999999996
2011-09-30,1.281
2011-10-01,1.969
2011-10-02,2.565
2011-10-03,3.092
2011-10-04,3.07
2011-10-05,0.39299999999999996
2011-10-06,7.582000000000001
2011-10-07,3.957
2011-10-08,2.522
2011-10-09,2.457
2011-10-10,4.378
2011-10-11,3.574
2011-10-12,2.6039999999999996
2011-10-13,4.732
2011-10-14,2.522
2011-10-15,2.386
2011-10-16,2.885
2011-10-17,1.4
2011-10-18,3.1319999999999997
2011-10-19,2.043
2011-10-20,2.282
2011-10-21,2.16
2011-10-22,2.543
2011-10-23,3.2760000000000002
2011-10-24,2.068
